"","real.all_comments.textOriginal"
"1359","Percy you obviously have not lost someone dearly to you. You think she would go on T.V and ball her eyes out? Her way of coping is smiling so no one else knows the pain she is going through. If she balled her eyes out she would be called an attention seeker. So she did an amazing job. My point has been made buh bye."
"1360","actors usually are. gorgeous and alive. She clearly is fine"
"1361","i am crying"
"1362","I am Cal’lisa least one of you could muster a tear or two"
"1363","Then you will freeze up and be absolutely useless in a real trama situation."
"1364","they're trained crisis actors this is fake"
"1365","She’s my dads sisters daughter."
"1366","Jaycie Marie really?"
"1367","Except that none of the Columbine kids were laughing."
"1368","Tom How is a person that is grazed by a bullet supposed to look??"
"1369","They didn't do anything thats the thing.......it didn't happen"
"1370","The girl didnt say she isnt sure at all, or that theres an in between she said maybe the book 'deterred' some of the bullets but whether she got grazed or not, you cant tell because of the sweater shes wearing"
"1371","C .... sorry either you were grazed or you weren't,  there's no in between. ...or not sure......or the book blocked it so it wasn't that bad, come on really !"
"1372","she didn't shed a tear"
"1373","Elena Stoilova just post a link. Let’s see if the source is reputable."
"1374","S͎h͎e͎ s͎u͎r͎v͎i͎v͎e͎d͎"
"1375","be more chill  it's real"
"1376","See a doctor .. might be heart disease"
"1377","My head hurts, are people really buying this crap??"
"1378","Way back in middle school I got a detention because the person next to me was goofing off during a test."
"1379","No schools 😂😂😂😂"
"1380","I have a few deputies around my school now...."
"1381","The problem with arming teachers (or at least one of the problems) is that they are being armed with the idea that there will be more shootings. So let’s suppose that they are able to stop the shooter before there or many casualties or any at all, you are still allowing teenagers and children to be put in a position where they have to witness that. We aren’t just talking about death and loss, but also about trauma and injuries, not to mention that there still might be casualties even if it’s less. are not addressing the whole issue."
"1382","Fox News is so out of touch with reality, lol."
"1383","Heatings sharks you killed me bro 😂"
"1384","Gun violence solution : THE CAN CANNON IQ:9000"
"1385","Fuck it, let's just give all the other students AR-15's, that way all the students will be equal during a shooting."
"1386","Can't they just put high taxes on the bullets"
"1387","We're fucked."
"1388","+prede34 The entire county and the Obama/Holder administration should also be held accountable for pushing and passing a policy where students aren't arrested for crimes they would otherwise be arrested for in order to falsely improve arrest records.  Cruz had assaulted people while he was in school, and the authorities did not arrest him because the county was trying to reduce the disproportionate number of arrests of minority students, because their thinking was that not only does a criminal record hurt a student's future and makes them more likely to be an adult criminal which is why it would be better to have alternative ""treatments"" for their criminal behavior, but these minority students are arrested more because of discrimination (which is obviously not true as you can look up the crime statistics by race and see that minority students, or really black and Hispanic, do commit proportionately more crimes).  This is all of course completely swept under the rug by the media.  You can look it all up.  It's not a conspiracy theory.

You're deluded about the Bahamas.  Their crime rate might be lower than the U.S.'s but that does not mean they are some low-maintenance country in terms of crime where the police can effectively do their job without a gun.

https://www.worldnomads.com/travel-safety/caribbean/the-bahamas/crime-in-the-bahamas

Most gun crimes are committed by people who do not legally own the gun used in the crime.  They either steal them, buy them off the black market or through a straw purchase.  

http://www.politifact.com/new-york/statements/2018/mar/12/john-faso/do-illegal-gun-owners-commit-most-gun-crime-rep-fa/

Criminals do not follow the law when it come to gun control.  If they are already thinking about committing a crime, they are not going to let a background check and a waiting period stop them, especially if they are considering a murder-suicide shooting spree.  Convicted criminals STILL find ways to access guns.  

Australia's gun crime rate was already low prior to gun control.  A lot of factors when it comes to crime and violence have to do with things OTHER than gun laws.  You can't point out single examples of gun control in low gun crime countries and cite that as proof gun control works, because there are countries with low crime and laxer gun control laws or higher gun ownership.  You can even find these contradictory examples in the U.S. among states and cities, e.g. California and Texas.

Also gun violence and crime in general in the U.S. has been going down.  It still is.  The fact is that most gun violence can be attributed to either suicide or gang- or drug-related crimes.  Even more so most gun violence happens in particular areas, not all over the place, and mass shootings aren't even a significant portion of gun violence.  Yes, something SHOULD be done about it, but considering that the local authorities and the feds wouldn't even enforce the existing laws for arresting a person committing a crime, perhaps we should start by having them do that and repealing this stupid, bullshit affirmative action policy for arrests by race.  Remember, if that policy didn't exist and the authorities had actually acted competently, Cruz would have had a criminal record show up in his background check at the gun stores, and he would not have legally been allowed to buy a gun."
"1389","+Tracer413 The police and feds did nothing to stop Cruz prior to his shooting because there was this silly policy enacted by Broward County to deliberately avoid arresting students in an effort to improve arrest records.  Seriously, you can look it up.  It's an affirmative action policy designed to decrease the disproportionate amount of minority students arrested for crimes.  IF CRUZ HAD BEEN ARRESTED LIKE HE SHOULD HAVE BEEN FOR HIS CRIMES PRIOR, THERE WOULD HAVE BEEN A CRIMINAL RECORD OF HIM APPEAR IN HIS BACKGROUND CHECK AND THUS HE WOULD NEVER HAVE BEEN ABLE TO LEGALLY PURCHASE THE GUNS.  How these imbeciles can complain that more laws need to be passed when they ignore the fact that the existing laws weren't applied is beyond reason.

The mental health record thing is a silly idea.  People will simply just not seek treatment for their mental illnesses if they know it will make it harder to buy a gun.  Also, exactly what mental illnesses and to what extent do you qualify as making someone as unfit to own a gun?  Too many problems come from that idea."
